Temperature (K) - T,Magnetic Field (Oe) - H ,M-DC (emu) - M
3.9947853,-0.0475,0.0320242267
3.994257,499.906,0.5743418267
3.9960313,1000.0205,1.2935422476
3.9933208,1999.946,2.2551659428
3.99508105,3000.0045,2.7631603169
3.99582335,5000.14,3.4149368029
3.996187,7000.1625,3.8980291558
3.99421765,10000.0155,4.3352881002
3.99660345,14999.6445,4.7463967414
3.99504365,19998.6105,5.0229790327
3.9972199,29999.952,5.4532876716
3.9965942,40001.199,5.7904722818
3.9944742,49999.887,6.0680939297
3.99023105,70000.012,6.5189881417
3.98945665,90000.043,6.8863646338
6.98143195,-0.057,-0.199024682
6.9861243,500.0195,0.5587764015
6.9884851,999.983,1.380184416
6.99327825,2000.003,2.3389950184
6.9948161,3000.005,2.8140326445
6.9943781,5000.1405,3.4376409398
6.9973502,7000.143,3.9045156858
6.9955008,10000.205,4.3271661356
6.9988046,14999.075,4.7296383427
6.9985304,20000.221,5.0089622343
6.99807525,30000.71,5.4390940903
6.99682305,40000.4415,5.7834810968
6.99226045,50000.551,6.0700445598
6.98614385,69999.7265,6.5337776041
6.9832759,90000.801,6.9055934722
9.97826525,0.0095,-0.1952530723
9.9790454,500.0955,0.6403938504
9.98203945,999.888,1.4936898469
9.98783825,2000.022,2.3750221855
9.99067115,3000.213,2.8221562573
9.9912782,5000.083,3.4278165992
9.9918895,7000.058,3.878490708
9.9929705,10001.0575,4.2877976387
9.9973469,14999.929,4.685313079
9.99939155,20000.9785,4.9676718109
10.0009508,30000.331,5.397820637
10.0001335,39999.7775,5.7481380652
9.99741885,50000.4555,6.0435402948
9.9922819,69999.254,6.5237093016
9.986814,89999.668,6.9101814568
12.97948835,0.019,-0.1838705473
12.9821172,499.8775,0.7351218343
12.9825721,1000.0015,1.5616931081
12.98940135,2000.0505,2.3520962286
12.9931235,3000.0145,2.769372601
12.98861645,4999.9985,3.3614876759
12.9918084,7000.238,3.7908717787
12.9966416,9998.784,4.1824715528
12.9977274,15000.0235,4.5765843308
13.0004387,19999.368,4.8619266566
13.0028787,30000.331,5.3127847899
13.00267075,40000.629,5.6763212049
13.0037122,49999.508,5.986181226
12.99821,69999.8245,6.4852418047
12.99532655,90001.4645,6.8853955808
15.9720974,-0.1045,-0.1611503591
15.97973155,499.972,0.8378394048
15.9736004,1000.0115,1.5586937772
15.98037625,2000.193,2.2399312993
15.988255,2999.948,2.6263999686
